Name,Organisation_context,Geography,Languages_used,Safeguarding_focus,Protected_characteristics,Message,Result_with_context,Result_no_context,Result_no_context_no_examples
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",#HonestyHour in middle school hoes used to call me a Mandingo warrior,"['hate speech', ['race'], [1]]","['hate speech', ['race'], [1]]","['hate speech', ['race'], [0.95]]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",Only Americans would hire white trash with ties to international terrorism as police officers.,"['hate speech', ['race'], [1]]","['hate speech', ['race'], [0.99]]","['hate speech', ['race'], [0.95]]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",completely right da suchka ebanaya,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['gender'], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",hahahahaha))) not give a shit man))) this is show only that she not use any brain,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",if i call you a faggot and say it is a joke...will yo ubelieve me,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",I think this gayboy can't read,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",Ur mother suck 50dk perday just to raise u be grateful,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",be grateful gayboy,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",why are you people so fkn gay,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",Make me a sandwitch,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",went to talk to the devs but found just a few girls,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",Can you imagine that two of their devs are females? What did they do to get the gigs?,"['hate speech', ['gender identity', 'sex'], [1, 1]]","['hate speech', ['gender'], [1]]","['hate speech', ['gender'], [0.98]]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste","She was unprofessional, hysterical then aggressive","['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste","She was unprofessional, hysterical then aggressive I stayed quiet but wanted to ask if it was that time of the month?","['hate speech', ['gender identity', 'sex'], [0.98, 0.98]]","['hate speech', ['gender'], [1]]","['hate speech', ['gender'], [0.95]]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste","massive afro or cornrows, what's this? supposed to be web3 networking not catwalk","['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste","There's too many people on this planet. Kill nazis, save the earth.","['hate speech', ['race', 'religion'], [1, 1]]","['hate speech', ['race'], [0.98]]","['hate speech', ['race'], [0.95]]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",There's too many people on this planet.,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste","There's too many people on this planet. Kill Jews, Kill Palestinians - save the earth. Simple!","['hate speech', ['race', 'religion'], [1, 1]]","['hate speech', ['race', 'religion'], [1, 1]]","['hate speech', ['race', 'religion'], [0.95, 0.97]]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",Some people are more giften and should be allowed to have resources,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",Are you fking kidding me?? You want to play with ponies? What's with this bronie bshit? You're a grown ass man! ,"['hate speech', ['gender identity'], [1]]","['hate speech', ['gender'], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",I don't want to be explaining things again to this slow noobs.,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste","He says he's tired of bending over backwards, but I'm sure he's actually enjoying all of that bending over.","['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",You seem to have sand in your vagina.,"['hate speech', ['gender identity'], [1]]","['hate speech', ['gender'], [1]]","['hate speech', ['gender'], [0.95]]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",Hey everyone! Excited for the hackathon this weekend. What's everyone building?,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste","Sure, share your repo. But maybe ask your boyfriend to help first? ;)","['hate speech', ['gender identity', 'sexual orientation'], [0.99, 0.99]]","['not hate speech', [], [1]]","['hate speech', ['sexual orientation', 'gender'], [0.80, 0.95]]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",She's from Florida so you've got to do the sniff test in those swamp pussies,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",Why people think gay marriage is okay is beyond me.,"['hate speech', ['sexual orientation', 'marriage and civil partnership status'], [1, 1]]","['hate speech', ['sexual orientation'], [0.98]]","['hate speech', ['sexual orientation'], [0.98]]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",gay marriage is okay,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",#HonestyHour in middle school hoes used to call me a Mandingo warrior,"['hate speech', ['race'], [1]]","['hate speech', ['race'], [1]]","['hate speech', ['race'], [0.98]]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",Only Americans would hire white trash with ties to international terrorism as police officers.,"['hate speech', ['race'], [1]]","['hate speech', ['race'], [0.99]]","['hate speech', ['race'], [0.95]]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",completely right da suchka ebanaya,"['not hate speech', [], [1]]","['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",hahahahaha))) not give a shit man))) this is show only that she not use any brain,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",if i call you a faggot and say it is a joke...will yo ubelieve me,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",I think this gayboy can't read,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",Ur mother suck 50dk perday just to raise u be grateful,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",be grateful gayboy,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",why are you people so fkn gay,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",Make me a sandwitch,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",went to talk to the devs but found just a few girls,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",Can you imagine that two of their devs are females? What did they do to get the gigs?,"['hate speech', ['gender identity', 'sex'], [1, 1]]","['hate speech', ['gender'], [1]]","['hate speech', ['gender'], [0.95]]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste","She was unprofessional, hysterical then aggressive","['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste","She was unprofessional, hysterical then aggressive I stayed quiet but wanted to ask if it was that time of the month?","['hate speech', ['gender identity', 'sex'], [0.97, 1]]","['hate speech', ['gender'], [1]]","['hate speech', ['gender'], [0.95]]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste","massive afro or cornrows, what's this? supposed to be web3 networking not catwalk","['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste","There's too many people on this planet. Kill nazis, save the earth.","['hate speech', ['race', 'religion'], [1, 1]]","['hate speech', ['race'], [1]]","['hate speech', ['race'], [0.85]]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",There's too many people on this planet.,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste","There's too many people on this planet. Kill Jews, Kill Palestinians - save the earth. Simple!","['hate speech', ['race', 'religion'], [1, 1]]","['hate speech', ['race', 'religion'], [1, 1]]","['hate speech', ['race', 'religion'], [0.95, 0.97]]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",Some people are more giften and should be allowed to have resources,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",Are you fking kidding me?? You want to play with ponies? What's with this bronie bshit? You're a grown ass man! ,"['hate speech', ['gender identity'], [1]]","['hate speech', ['gender'], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",I don't want to be explaining things again to this slow noobs.,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste","He says he's tired of bending over backwards, but I'm sure he's actually enjoying all of that bending over.","['not hate speech', [], [1]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",You seem to have sand in your vagina.,"['hate speech', ['gender'], [1]]","['hate speech', ['gender'], [1]]","['hate speech', ['gender'], [0.95]]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",Hey everyone! Excited for the hackathon this weekend. What's everyone building?,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief","Sure, share your repo. But maybe ask your boyfriend to help first? ;)","['hate speech', ['gender'], [1]]","['not hate speech', [], [1]]","['hate speech', ['sexual orientation', 'gender'], [0.98, 0.85]]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",She's from Florida so you've got to do the sniff test in those swamp pussies,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an,"['hate speech', ['sexual orientation'], [0.98]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",Why people think gay marriage is okay is beyond me.,"['hate speech', ['sexual orientation', 'marriage and civil partnership'], [1, 1]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",gay marriage is okay,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",#HonestyHour in middle school hoes used to call me a Mandingo warrior,"['hate speech', ['race'], [1]]","['hate speech', ['race'], [1]]","['hate speech', ['race'], [0.95]]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",Only Americans would hire white trash with ties to international terrorism as police officers.,"['hate speech', ['race'], [1]]","['hate speech', ['race'], [0.99]]","['hate speech', ['race'], [0.95]]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",completely right da suchka ebanaya,"['hate speech', ['race'], [1]]","['hate speech', ['gender'], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
